"col_id","col_name","name"
2,"Madison Co, Alabama","Tennessee"
2,"Madison Co, Alabama","Alabama"
3,"Jackson County, Alabama","Georgia"
3,"Jackson County, Alabama","Tennessee"
3,"Jackson County, Alabama","Alabama"
4,"Blount County, Alabama","Alabama"
5,"Dekalb & Western Etowah Counties, Alabama","Alabama"
6,"Western Valley & Ridge, Northern Segment, Alabama","Georgia"
6,"Western Valley & Ridge, Northern Segment, Alabama","Alabama"
7,"Eastern Valley and Ridge, Northern Segment, Alabama","Alabama"
8,"Western Valley & Ridge, Southern Segment, Alabama","Alabama"
9,"Eastern Valley & Ridge, Southern Segment, Alabama","Alabama"
10,"Northwestern Valley & Ridge & Plateau, Georgia","Georgia"
10,"Northwestern Valley & Ridge & Plateau, Georgia","Tennessee"
10,"Northwestern Valley & Ridge & Plateau, Georgia","Alabama"
11,"Southeastern Valley & Ridge, Georgia","Georgia"
11,"Southeastern Valley & Ridge, Georgia","Tennessee"
12,"Cumberland Plateau & Adjacent Areas, Tennessee","Kentucky"
12,"Cumberland Plateau & Adjacent Areas, Tennessee","Tennessee"
13,"Pine Mountain Overthrust & Adjacent Areas, Tennessee","Tennessee"
13,"Pine Mountain Overthrust & Adjacent Areas, Tennessee","Virginia"
13,"Pine Mountain Overthrust & Adjacent Areas, Tennessee","Kentucky"
14,"Northern Unaka Mountains & Adjacent Valley & Ridge, Tennessee","Virginia"
14,"Northern Unaka Mountains & Adjacent Valley & Ridge, Tennessee","Tennessee"
14,"Northern Unaka Mountains & Adjacent Valley & Ridge, Tennessee","North Carolina"
15,"Southern Unaka Mountains and Adjacent Valley & Ridge, Tennessee","Tennessee"
16,"Valley & Ridge, Tennessee","Tennessee"
17,"South-central, Ohio","Ohio"
17,"South-central, Ohio","West Virginia"
18,"Northeastern Kentucky","Kentucky"
18,"Northeastern Kentucky","Ohio"
18,"Northeastern Kentucky","West Virginia"
19,"Eastern Kentucky","Kentucky"
19,"Eastern Kentucky","West Virginia"
20,"Southeastern Kentucky: North of Pine Mtn","Kentucky"
21,"Lee County, Virginia","Tennessee"
21,"Lee County, Virginia","Virginia"
21,"Lee County, Virginia","Kentucky"
22,"Northern Part Chautauqua Platform","Oklahoma"
22,"Northern Part Chautauqua Platform","Kansas"
23,"Appalachian Plateau, Virginia","Kentucky"
23,"Appalachian Plateau, Virginia","West Virginia"
23,"Appalachian Plateau, Virginia","Virginia"
24,"Southern Part Chautauqua Platform","Oklahoma"
25,"Scott and Russell Counties, Virginia","Virginia"
25,"Scott and Russell Counties, Virginia","Tennessee"
25,"Scott and Russell Counties, Virginia","Kentucky"
26,"Lehigh Basin Portion of Arkoma Basin","Oklahoma"
27,"Washington & Smyth Counties, Virginia: West of Pulaski Fault","North Carolina"
27,"Washington & Smyth Counties, Virginia: West of Pulaski Fault","Virginia"
27,"Washington & Smyth Counties, Virginia: West of Pulaski Fault","Tennessee"
28,"Western Anticline Belt (southern half), Virginia","Virginia"
28,"Western Anticline Belt (southern half), Virginia","West Virginia"
31,"Eastern Wisconsin","Illinois"
31,"Eastern Wisconsin","Michigan"
31,"Eastern Wisconsin","Wisconsin"
32,"Southern Coal Basin, West Virginia","Ohio"
32,"Southern Coal Basin, West Virginia","West Virginia"
33,"Sioux/Lyons Counties, Iowa","Minnesota"
33,"Sioux/Lyons Counties, Iowa","Iowa"
33,"Sioux/Lyons Counties, Iowa","South Dakota"
35,"Plomosa and Dome Rock Mountains Area","Baja California"
35,"Plomosa and Dome Rock Mountains Area","Sonora"
35,"Plomosa and Dome Rock Mountains Area","California"
35,"Plomosa and Dome Rock Mountains Area","Arizona"
36,"Barrow - Drew Point","Alaska"
37,"Wythe and Pulaski Counties, Virginia: West of Pulaski Fault","Virginia"
37,"Wythe and Pulaski Counties, Virginia: West of Pulaski Fault","West Virginia"
38,"Montgomery and Roanoke Counties, Virginia: West of Pulaski Fault","Virginia"
38,"Montgomery and Roanoke Counties, Virginia: West of Pulaski Fault","West Virginia"
39,"Basin Center, West Virginia","West Virginia"
40,"Southeast Valley & Ridge, West Virginia","West Virginia"
41,"Highland to Craig County, Virginia","West Virginia"
41,"Highland to Craig County, Virginia","Virginia"
42,"Rockbridge & Botetourt Counties, Virginia - West of Pulaski Fault","Virginia"
42,"Rockbridge & Botetourt Counties, Virginia - West of Pulaski Fault","West Virginia"
43,"Rockingham & Augusta Counties, Virginia - West of North Mtn Fault","Virginia"
43,"Rockingham & Augusta Counties, Virginia - West of North Mtn Fault","West Virginia"
44,"Southeastern Ohio","Ohio"
44,"Southeastern Ohio","West Virginia"
45,"Dunkard Basin, West Virginia","Pennsylvania"
45,"Dunkard Basin, West Virginia","Ohio"
45,"Dunkard Basin, West Virginia","West Virginia"
46,"High Plateau, West Virginia","Pennsylvania"
46,"High Plateau, West Virginia","West Virginia"
47,"Northeast Valley & Ridge, West Virginia","Virginia"
47,"Northeast Valley & Ridge, West Virginia","Maryland"
47,"Northeast Valley & Ridge, West Virginia","West Virginia"
48,"Southern Papago Reservation","Arizona"
48,"Southern Papago Reservation","Sonora"
49,"Sonoita Area","Arizona"
49,"Sonoita Area","Sonora"
50,"Big Hatchet Mountain Area","Arizona"
50,"Big Hatchet Mountain Area","Chihuahua"
50,"Big Hatchet Mountain Area","Sonora"
50,"Big Hatchet Mountain Area","New Mexico"
51,"Verde Valley","Arizona"
52,"Lone Mountain Area","Arizona"
52,"Lone Mountain Area","New Mexico"
53,"Black Range","New Mexico"
54,"Franklin Mountain Cristo Rey Area","Texas"
54,"Franklin Mountain Cristo Rey Area","New Mexico"
54,"Franklin Mountain Cristo Rey Area","Chihuahua"
55,"Organ Mountain Southern San Andres Mountain","New Mexico"
56,"Northeast Valley & Ridge, Virginia - West of North Mtn Fault","Virginia"
56,"Northeast Valley & Ridge, Virginia - West of North Mtn Fault","West Virginia"
57,"Sierra Diablo","New Mexico"
57,"Sierra Diablo","Chihuahua"
57,"Sierra Diablo","Texas"
58,"Marathon - Big Bend Region","Coahuila de Zaragoza"
58,"Marathon - Big Bend Region","Chihuahua"
58,"Marathon - Big Bend Region","Texas"
59,"Glass Mountain Marathon Region","Coahuila de Zaragoza"
59,"Glass Mountain Marathon Region","Texas"
60,"Quemado Fence Lake Area","New Mexico"
60,"Quemado Fence Lake Area","Arizona"
61,"Puetecito-landron Mountain Area","New Mexico"
62,"Carthage-Joyita Hill Area","New Mexico"
63,"Northern San Andres Mountains","New Mexico"
64,"Sacramento Mountains","New Mexico"
65,"Carlsbad and Northern Shelf","New Mexico"
65,"Carlsbad and Northern Shelf","Texas"
66,"Delaware Basin","Texas"
66,"Delaware Basin","New Mexico"
67,"Central Basin Platform","Texas"
67,"Central Basin Platform","New Mexico"
68,"Midland Basin","Texas"
69,"Eastern Shelf","Texas"
70,"Northwest Shelf","Texas"
70,"Northwest Shelf","New Mexico"
71,"Western Palo Duro Basin","Texas"
71,"Western Palo Duro Basin","New Mexico"
72,"Eastern Palo Duro Basin","Texas"
72,"Eastern Palo Duro Basin","Oklahoma"
73,"Amarillo Arch","Oklahoma"
73,"Amarillo Arch","Texas"
74,"Western Oklahoma","Texas"
74,"Western Oklahoma","Oklahoma"
74,"Western Oklahoma","Kansas"
75,"Texas Panhandle","Oklahoma"
75,"Texas Panhandle","Texas"
75,"Texas Panhandle","Kansas"
76,"Hugoton Embayment-kansas","Colorado"
76,"Hugoton Embayment-kansas","Kansas"
76,"Hugoton Embayment-kansas","Oklahoma"
77,"Las Animas Arch-colorado","Colorado"
77,"Las Animas Arch-colorado","Kansas"
78,"Las Animas Arch-kansas","Colorado"
78,"Las Animas Arch-kansas","Kansas"
78,"Las Animas Arch-kansas","Nebraska"
79,"Plymouth/Cheeroke Counties, Iowa","Minnesota"
79,"Plymouth/Cheeroke Counties, Iowa","Iowa"
79,"Plymouth/Cheeroke Counties, Iowa","Nebraska"
80,"Webster County, Iowa","Minnesota"
80,"Webster County, Iowa","Iowa"
81,"Butler County, Iowa","Iowa"
82,"Linn/Benton Counties, Iowa","Iowa"
83,"Des Moines County, Iowa","Illinois"
83,"Des Moines County, Iowa","Missouri"
83,"Des Moines County, Iowa","Iowa"
84,"Sheridan County, Nebraska","South Dakota"
84,"Sheridan County, Nebraska","Nebraska"
84,"Sheridan County, Nebraska","Colorado"
85,"Rock County, Nebraska","Nebraska"
85,"Rock County, Nebraska","South Dakota"
86,"Stanton County, Nebraska","Nebraska"
86,"Stanton County, Nebraska","South Dakota"
87,"Sarpy County, Nebraska","Iowa"
87,"Sarpy County, Nebraska","Nebraska"
88,"Harrison/Pottawattomie Counties, Iowa","Nebraska"
88,"Harrison/Pottawattomie Counties, Iowa","Iowa"
89,"Dallas/Madison Counties, Iowa","Iowa"
89,"Dallas/Madison Counties, Iowa","Missouri"
90,"Appanoose County, Iowa","Iowa"
90,"Appanoose County, Iowa","Missouri"
91,"Marion County, Missouri","Iowa"
91,"Marion County, Missouri","Illinois"
91,"Marion County, Missouri","Missouri"
92,"Redwillow County, Nebraska","Kansas"
92,"Redwillow County, Nebraska","Nebraska"
93,"Ellis/trego Counties, Kansas","Kansas"
93,"Ellis/trego Counties, Kansas","Nebraska"
94,"Colville Delta","Alaska"
95,"West Sak","Alaska"
96,"Prudhoe","Alaska"
97,"Canning River Delta","Alaska"
98,"Northern Arctic National Wildlife Refuge","Alaska"
99,"Mitchell County, Kansas","Kansas"
99,"Mitchell County, Kansas","Nebraska"
100,"Pottawotomie County, Kansas","Nebraska"
100,"Pottawotomie County, Kansas","Kansas"
101,"Jackson County, Kansas","Missouri"
101,"Jackson County, Kansas","Kansas"
101,"Jackson County, Kansas","Nebraska"
102,"Pawnee County, Nebraska","Kansas"
102,"Pawnee County, Nebraska","Nebraska"
103,"Atchinson County, Missouri","Iowa"
103,"Atchinson County, Missouri","Missouri"
103,"Atchinson County, Missouri","Kansas"
103,"Atchinson County, Missouri","Nebraska"
104,"Boone County, Missouri","Missouri"
105,"Perry County, Missouri","Illinois"
105,"Perry County, Missouri","Missouri"
105,"Perry County, Missouri","Kentucky"
106,"Stafford County, Kansas","Kansas"
107,"Kingman County, Kansas","Kansas"
107,"Kingman County, Kansas","Oklahoma"
108,"Butler County, Kansas","Kansas"
108,"Butler County, Kansas","Oklahoma"
109,"Vernon County, Missouri","Missouri"
109,"Vernon County, Missouri","Kansas"
109,"Vernon County, Missouri","Oklahoma"
110,"Barry County, Missouri","Kansas"
110,"Barry County, Missouri","Missouri"
110,"Barry County, Missouri","Oklahoma"
110,"Barry County, Missouri","Arkansas"
112,"Northern Coastal Plain","District of Columbia"
112,"Northern Coastal Plain","Virginia"
112,"Northern Coastal Plain","Maryland"
113,"Northern Neck Peninsula","Virginia"
113,"Northern Neck Peninsula","Maryland"
114,"Raritan Bay","New Jersey"
114,"Raritan Bay","New York"
115,"Brick Township","New Jersey"
116,"Middle Peninsula","Maryland"
116,"Middle Peninsula","Virginia"
117,"South Bank of James River","Virginia"
118,"York-james Peninsula","Virginia"
119,"Southwestern Coastal Plain","North Carolina"
119,"Southwestern Coastal Plain","Virginia"
120,"Southeastern Coastal Plain","Virginia"
121,"Eastern Shore","Virginia"
121,"Eastern Shore","Maryland"
122,"Murfreesboro","Virginia"
122,"Murfreesboro","North Carolina"
123,"Great Dismal Swamp","Virginia"
123,"Great Dismal Swamp","North Carolina"
124,"Albemarle Sound-Alligator River","North Carolina"
125,"Pungo Lake","North Carolina"
126,"Farmville","North Carolina"
127,"Inner Coastal Plain","North Carolina"
128,"Cape Lookout","North Carolina"
129,"Trenton-columbus-new Egypt","Pennsylvania"
129,"Trenton-columbus-new Egypt","New Jersey"
130,"Island Beach","New Jersey"
131,"Gloucester County-Salem County","Pennsylvania"
131,"Gloucester County-Salem County","Delaware"
131,"Gloucester County-Salem County","New Jersey"
132,"Cape May","New Jersey"
133,"Chesapeake and Delaware Canal","Maryland"
133,"Chesapeake and Delaware Canal","New Jersey"
133,"Chesapeake and Delaware Canal","Pennsylvania"
133,"Chesapeake and Delaware Canal","Delaware"
134,"Odessa","Maryland"
134,"Odessa","Delaware"
134,"Odessa","New Jersey"
135,"Deakyneville","Delaware"
135,"Deakyneville","New Jersey"
136,"Dover","Maryland"
136,"Dover","New Jersey"
136,"Dover","Delaware"
137,"Greenwood","Maryland"
137,"Greenwood","Delaware"
138,"Atlantic Coast","Maryland"
138,"Atlantic Coast","New Jersey"
138,"Atlantic Coast","Delaware"
140,"Upper Chesapeake Bay","Maryland"
141,"Potomac Estuary","Maryland"
141,"Potomac Estuary","Virginia"
142,"Atlantic Coast","Maryland"
142,"Atlantic Coast","Delaware"
142,"Atlantic Coast","Virginia"
143,"Surf City","North Carolina"
144,"Pedee","South Carolina"
144,"Pedee","North Carolina"
145,"Congaree","South Carolina"
145,"Congaree","North Carolina"
146,"Lower Santee-Edisto","Georgia"
146,"Lower Santee-Edisto","South Carolina"
147,"Aiken","Georgia"
147,"Aiken","South Carolina"
148,"Mcalester Basin Portion of Arkoma Basin","Oklahoma"
148,"Mcalester Basin Portion of Arkoma Basin","Arkansas"
149,"Northwestern Foothills and Arctic Slope Subsurface","Alaska"
150,"Northeastern Foothills and Phillip Smith Mountains Quadrangle","Alaska"
151,"North Central Foothills and Subsurface","Alaska"
152,"Romanzof - British Mountains","Yukon"
152,"Romanzof - British Mountains","Alaska"
152,"Romanzof - British Mountains","Northwest Territories"
153,"Nuka Ridge Allochthon","Alaska"
154,"Ipnavik Allochthon","Alaska"
155,"Kelly River Allochthon","Alaska"
156,"Garrett County, Maryland","Maryland"
156,"Garrett County, Maryland","Pennsylvania"
156,"Garrett County, Maryland","West Virginia"
157,"Arkansas Basin Portion of Arkoma Basin","Missouri"
157,"Arkansas Basin Portion of Arkoma Basin","Arkansas"
158,"Central Southern Oklahoma and Southwestern Oklahoma, Southern Oklahoma Fold","Texas"
158,"Central Southern Oklahoma and Southwestern Oklahoma, Southern Oklahoma Fold","Oklahoma"
159,"Cooke and Grayson Counties, Texas, Southern Oklahoma Folded Belt","Texas"
159,"Cooke and Grayson Counties, Texas, Southern Oklahoma Folded Belt","Oklahoma"
160,"Bend Arch","Texas"
161,"Fort Worth Basin","Oklahoma"
161,"Fort Worth Basin","Texas"
162,"Strawn Basin","Texas"
163,"Llano Uplift","Texas"
164,"Kerr Basin","Texas"
165,"Arkansas and Louisiana Portion of Ouachita Tectonic Belt","Arkansas"
166,"Oklahoma Portion of Ouachita Tectonic Belt","Arkansas"
166,"Oklahoma Portion of Ouachita Tectonic Belt","Texas"
166,"Oklahoma Portion of Ouachita Tectonic Belt","Oklahoma"
167,"Waco Uplift Portion of Ouachita Tectonic Belt","Texas"
168,"Devils River Uplift Portion of Ouachita Tectonic Belt","Texas"
168,"Devils River Uplift Portion of Ouachita Tectonic Belt","Coahuila de Zaragoza"
169,"Black Warrior Basin Prentiss County, Mississippi","Mississippi"
169,"Black Warrior Basin Prentiss County, Mississippi","Alabama"
169,"Black Warrior Basin Prentiss County, Mississippi","Tennessee"
170,"Black Warrior Basin Oktibbeha County, Mississippi","Alabama"
170,"Black Warrior Basin Oktibbeha County, Mississippi","Mississippi"
171,"Black Warrior Basin Cullman County, Alabama","Alabama"
172,"Washabaugh County, South Dakota","Nebraska"
172,"Washabaugh County, South Dakota","South Dakota"
173,"Brule County, South Dakota","South Dakota"
173,"Brule County, South Dakota","Nebraska"
174,"Brown County, South Dakota","South Dakota"
174,"Brown County, South Dakota","Minnesota"
174,"Brown County, South Dakota","North Dakota"
175,"Kittson County, Minnesota","Minnesota"
175,"Kittson County, Minnesota","North Dakota"
175,"Kittson County, Minnesota","Manitoba"
176,"Union County, South Dakota","South Dakota"
176,"Union County, South Dakota","Iowa"
176,"Union County, South Dakota","Nebraska"
177,"Minnehaha County, South Dakota","South Dakota"
177,"Minnehaha County, South Dakota","Iowa"
177,"Minnehaha County, South Dakota","Minnesota"
178,"Minnesota River Valley, Big Stone to Nicollet Counties, Minnesota","South Dakota"
178,"Minnesota River Valley, Big Stone to Nicollet Counties, Minnesota","North Dakota"
178,"Minnesota River Valley, Big Stone to Nicollet Counties, Minnesota","Minnesota"
179,"Stearns County, Minnesota","Minnesota"
180,"Crow Wing County, Minnesota","Minnesota"
181,"Rainy Lake District, Koochiching County, Minnesota","Minnesota"
181,"Rainy Lake District, Koochiching County, Minnesota","Ontario"
182,"West Vermillion District, St. Louis - Lake Counties, Minnesota","Minnesota"
182,"West Vermillion District, St. Louis - Lake Counties, Minnesota","Wisconsin"
182,"West Vermillion District, St. Louis - Lake Counties, Minnesota","Ontario"
183,"Cook County, Minnesota","Michigan"
183,"Cook County, Minnesota","Wisconsin"
183,"Cook County, Minnesota","Minnesota"
183,"Cook County, Minnesota","Ontario"
184,"Pine - Carlton Counties, Minnesota","Wisconsin"
184,"Pine - Carlton Counties, Minnesota","Minnesota"
185,"Freeborn County, Minnesota","Wisconsin"
185,"Freeborn County, Minnesota","Minnesota"
185,"Freeborn County, Minnesota","Iowa"
186,"Grant County, Wisconsin","Iowa"
186,"Grant County, Wisconsin","Illinois"
186,"Grant County, Wisconsin","Wisconsin"
186,"Grant County, Wisconsin","Minnesota"
187,"Baraboo District, Sauk County, Wisconsin","Wisconsin"
187,"Baraboo District, Sauk County, Wisconsin","Illinois"
188,"Fond Du Lac County, Wisconsin","Illinois"
188,"Fond Du Lac County, Wisconsin","Wisconsin"
189,"Wausau-wisconsin Rapids Area, Marathon-Wood Counties, Wisconsin","Wisconsin"
190,"Flambeau and Rusk Counties, Wisconsin","Wisconsin"
191,"Davis Hill Area Bayfield County, Wisconsin","Wisconsin"
191,"Davis Hill Area Bayfield County, Wisconsin","Minnesota"
191,"Davis Hill Area Bayfield County, Wisconsin","Michigan"
192,"Gogebic Range, Gogebic County, Michigan","Michigan"
192,"Gogebic Range, Gogebic County, Michigan","Wisconsin"
193,"Watersmeet Area, Gogebic County, Michigan","Wisconsin"
193,"Watersmeet Area, Gogebic County, Michigan","Michigan"
194,"Amasa Oval, Iron County, Michigan","Wisconsin"
194,"Amasa Oval, Iron County, Michigan","Michigan"
195,"Marquette District, Marquette County, Michigan","Michigan"
195,"Marquette District, Marquette County, Michigan","Ontario"
196,"Central Dickinson County, Michigan","Wisconsin"
196,"Central Dickinson County, Michigan","Michigan"
197,"Mountain-amberg Area, Oconto-marinette Counties, Wisconsin","Wisconsin"
197,"Mountain-amberg Area, Oconto-marinette Counties, Wisconsin","Michigan"
198,"Cuyama Valley","California"
199,"Santa Maria","California"
200,"Central Santa Ynez Mountains","California"
201,"Fillmore","California"
202,"Oxnard","California"
203,"Ridge Basin","California"
204,"Soledad Basin","California"
205,"San Fernando - Santa Susana Mountains","California"
206,"Central Santa Monica Mountains","California"
207,"Palos Verdes Hills","California"
208,"Northern Santa Ana Mountains","California"
209,"Southern Santa Ana Mountains","California"
210,"Picnic Creek Allochthon","Alaska"
211,"Western Endicott Allochthon","Alaska"
212,"Ekokpuk Syncline","Alaska"
213,"Savioyuk Syncline","Alaska"
214,"Northern San Diego Embayment","California"
215,"Central San Diego Embayment","California"
216,"Southern San Diego Embayment","California"
216,"Southern San Diego Embayment","Baja California"
217,"Peninsular Range","California"
218,"Cortez/tanner Banks","California"
219,"Corona","California"
220,"Elsinor/temecula","California"
221,"San Jacinto/Santa Rosa Mountains","California"
222,"Mecca Hills/Orocopia Mountains","California"
223,"Eagle/Pinto Mountains","California"
224,"Cajon Pass","California"
225,"Big Bear","California"
226,"Victorville","California"
227,"Kramer","California"
228,"Barstow","California"
229,"Hector","California"
230,"Old Dad Mountains","California"
231,"Mescal Range-Providence Mountains","Arizona"
231,"Mescal Range-Providence Mountains","Nevada"
231,"Mescal Range-Providence Mountains","California"
232,"Centerville Beach","California"
233,"Scotia Bluffs","California"
234,"East of Mccloud River","California"
234,"East of Mccloud River","Oregon"
235,"West of Mccloud River","California"
236,"Yreka","California"
236,"Yreka","Oregon"
237,"Central Metamorphic Belt","California"
238,"North Fork","California"
239,"Hayfork","California"
240,"Rattlesnake","California"
241,"Kalmiopsis","California"
241,"Kalmiopsis","Oregon"
242,"Berkeley Hills","California"
243,"Western Contra Costa County","California"
244,"Merced River","California"
245,"Tuolumne River","California"
246,"Mokelumne River to Placerville Area","California"
247,"Sonora Area","California"
248,"Bowman Lake","California"
249,"Taylorsville","California"
250,"Taylorsville East","Nevada"
250,"Taylorsville East","California"
251,"Mount Diablo North Fork","California"
252,"Mount Diablo South Flank","California"
253,"Suisun Bay","California"
254,"Montezuma","California"
255,"Tracy","California"
256,"San Joaquin East","California"
257,"Clarksburg","California"
258,"Ord Bend","California"
259,"Northwest","California"
260,"Putah Creek","California"
261,"Roseburg Area","Oregon"
262,"Cape Blanco Area","Oregon"
263,"Coos Bay Area","Oregon"
264,"Reedsport (subsurface)","Oregon"
265,"Eugene Area","Oregon"
266,"Central Coastal Range","Oregon"
267,"Mcminnville Sheridan Area","Oregon"
268,"Oregon City, Molalla Area","Oregon"
268,"Oregon City, Molalla Area","Washington"
269,"Astoria Area","Washington"
269,"Astoria Area","Oregon"
270,"Columbia County Area","Washington"
270,"Columbia County Area","Oregon"
271,"Eastern Endicott Mountains Allochthon","Alaska"
272,"Mount Doonerak","Alaska"
273,"Hub Mountain","Alaska"
274,"Southern Wiseman Quadrangle","Alaska"
275,"South Flank Willapa Hills","Oregon"
275,"South Flank Willapa Hills","Washington"
276,"Grays Harbor Basin","Washington"
277,"Centralia - Chehalis Area","Washington"
278,"Western Olympic Peninsula","Washington"
279,"Northwest Olympic Peninsula","British Columbia"
279,"Northwest Olympic Peninsula","Washington"
280,"Northeast Olympic Peninsula","British Columbia"
280,"Northeast Olympic Peninsula","Washington"
281,"Bremerton Area","Washington"
282,"Seattle Area","Washington"
283,"Carbon River Area","Washington"
624,"Merigomish Antigonish","Nova Scotia"
284,"Bellingham Area","Washington"
284,"Bellingham Area","British Columbia"
285,"Pasco - Yakima - Ellensburg Area, Washington","Washington"
285,"Pasco - Yakima - Ellensburg Area, Washington","Oregon"
286,"Columbia River - the Dalles Area, Oregon-washington","Washington"
286,"Columbia River - the Dalles Area, Oregon-washington","Oregon"
287,"Bend - Madras - Ochoco Mountains, Oregon","Oregon"
288,"Survey Pass Composite","Alaska"
289,"Lakeview - Fort Rock - Klamath Falls, Oregon","California"
289,"Lakeview - Fort Rock - Klamath Falls, Oregon","Oregon"
290,"John Day - Suplee, Central Oregon","Oregon"
291,"Harney Basin to Steens Mountains, South-Central Oregon","Oregon"
292,"Pullman, Wa. to Snake River Gorge, Wa. Or Id.","Washington"
292,"Pullman, Wa. to Snake River Gorge, Wa. Or Id.","Oregon"
292,"Pullman, Wa. to Snake River Gorge, Wa. Or Id.","Idaho"
293,"Baker County and Wallowa Mountains, Oregon","Idaho"
293,"Baker County and Wallowa Mountains, Oregon","Oregon"
294,"Juntura - Vale - Owyhee Dam, Oregon","Oregon"
294,"Juntura - Vale - Owyhee Dam, Oregon","Idaho"
295,"Boise Basin, Idaho","Idaho"
296,"Allegany County, Maryland","Maryland"
296,"Allegany County, Maryland","Virginia"
296,"Allegany County, Maryland","Pennsylvania"
296,"Allegany County, Maryland","West Virginia"
297,"Washington County, Maryland","Maryland"
297,"Washington County, Maryland","Virginia"
297,"Washington County, Maryland","West Virginia"
297,"Washington County, Maryland","Pennsylvania"
298,"North-central Ohio","Ohio"
299,"East-central Ohio","Pennsylvania"
299,"East-central Ohio","Ohio"
299,"East-central Ohio","West Virginia"
300,"Southwestern Pennsylvania","Pennsylvania"
301,"South-central Pennsylvania","Pennsylvania"
302,"Southeastern Pennsylvania","Pennsylvania"
303,"Northeastern Ohio","Pennsylvania"
303,"Northeastern Ohio","Ohio"
303,"Northeastern Ohio","Ontario"
304,"Northwest Pennsylvania","New York"
304,"Northwest Pennsylvania","Pennsylvania"
304,"Northwest Pennsylvania","Ohio"
305,"North-central Pennsylvania","New York"
305,"North-central Pennsylvania","Pennsylvania"
306,"Northeast Pennsylvania","New York"
306,"Northeast Pennsylvania","Pennsylvania"
307,"Eastern Pennsylvania","Pennsylvania"
307,"Eastern Pennsylvania","New York"
308,"Northwestern New Jersey","Pennsylvania"
308,"Northwestern New Jersey","New Jersey"
309,"Green Pond Mountain Region, New Jersey","New Jersey"
309,"Green Pond Mountain Region, New Jersey","Pennsylvania"
309,"Green Pond Mountain Region, New Jersey","New York"
310,"Western New York","New York"
310,"Western New York","Pennsylvania"
310,"Western New York","Ontario"
311,"West-central New York","New York"
311,"West-central New York","Ontario"
312,"East-central New York","New York"
312,"East-central New York","Ontario"
313,"Eastern New York","New York"
314,"Southeastern New York","New York"
315,"Adirondack Mountains and Champlain Valley","New York"
316,"Yukon-Koyukuk Basin","Alaska"
317,"Northern Kuskokwim Mountains","Alaska"
318,"Southwest Alaska Range, Farewell Area","Alaska"
319,"North Central Alaska, Range Healy Area","Alaska"
320,"Northeast Alaska Range, North of Denali Fault Mount Hayes Quadrangle","Alaska"
321,"West Central Alaska Range, McKinley Area","Alaska"
322,"Kanektok River","Alaska"
323,"Tikchik Lakes","Alaska"
324,"Boulder Mountains Wood River and Central Pioneer Mountains, Central Idaho","Montana"
324,"Boulder Mountains Wood River and Central Pioneer Mountains, Central Idaho","Idaho"
325,"White Knob Mountains, Lost River and Lemhi Range, Central Idaho","Montana"
325,"White Knob Mountains, Lost River and Lemhi Range, Central Idaho","Idaho"
326,"Pend Oreille Lake Boundary County, Idaho Pandandle","Montana"
